ds,yhat,yhat_lower,yhat_upper,Category
2015-01-01,6005.241655841671,3107.763552255315,8924.054607075379,Furniture
2015-02-01,988.7054918035446,-1996.5271628316525,4254.509687777031,Furniture
2015-03-01,10290.296805782657,7246.57549122504,13183.057294646009,Furniture
2015-04-01,5428.39215127166,2465.8244861757253,8505.879695944583,Furniture
2015-05-01,8635.908146211412,5476.783732754827,11589.725350517765,Furniture
2015-06-01,13367.443272610128,10387.574429963928,16476.41155650783,Furniture
2015-07-01,8408.120001963378,5296.243508723228,11505.075516328012,Furniture
2015-08-01,8186.1639033043975,5097.585327647681,11089.378807568839,Furniture
2015-09-01,23297.563750270747,20347.71036590561,26247.336538755782,Furniture
2015-10-01,13480.36275341075,10487.233814097373,16349.481357009576,Furniture
2015-11-01,23915.594630686115,20996.525769622207,26885.65825714267,Furniture
2015-12-01,29726.362882786936,26758.442219781566,32728.617408611906,Furniture
2016-01-01,8919.729918707933,5712.739662214398,11934.12601979508,Furniture
2016-02-01,1789.2741160500336,-1138.4485394902676,4856.579009094609,Furniture
2016-03-01,9400.163615589749,6543.924714406423,12546.226215335028,Furniture
2016-04-01,11556.94824528444,8594.106525954914,14429.067783057524,Furniture
2016-05-01,12127.490893516439,9339.80618437463,15251.933616326465,Furniture
2016-06-01,8370.975467464841,5484.6098842447645,11366.704338855148,Furniture
2016-07-01,12427.785645720447,9469.996372378682,15390.862244037664,Furniture
2016-08-01,10515.310878268305,7595.601790925722,13489.515407507777,Furniture
2016-09-01,25446.10924099602,22503.256038355263,28512.515325885306,Furniture
2016-10-01,11984.563181594644,8827.412831117055,14898.845135109606,Furniture
2016-11-01,32996.439918266,30094.367592077313,35868.139612927975,Furniture
2016-12-01,27694.678593128578,24569.59234488128,30569.866177570882,Furniture
2017-01-01,6819.1110039421355,3848.444083898535,9673.952568719542,Furniture
2017-02-01,6038.4202014262355,3255.7873179802746,9252.940999677436,Furniture
2017-03-01,11944.831235723712,8921.442824839472,15051.552253039852,Furniture
2017-04-01,11756.093074330478,8531.629823971509,14818.162452659613,Furniture
2017-05-01,13147.911618913064,10105.240383805422,16160.763779466657,Furniture
2017-06-01,12262.439470509136,9006.145214006785,15155.280980516836,Furniture
2017-07-01,13349.795616312607,10250.693620850807,16321.640575602763,Furniture
2017-08-01,11968.902421936844,9011.821165956177,15140.580188550399,Furniture
2017-09-01,26959.70669428014,23913.756417939785,29715.8729818055,Furniture
2017-10-01,14737.446541157326,11688.129575524146,17847.785859473337,Furniture
2017-11-01,32201.146121360554,29268.76601255066,35363.95899248504,Furniture
2017-12-01,30566.46886617491,27639.804365471362,33602.32758827688,Furniture
2018-01-01,9767.659358079029,6835.469964911007,12848.546713631837,Furniture
2018-02-01,6868.669735263829,3956.6448941733097,9773.065141909994,Furniture
2018-03-01,14475.80934622792,11550.12407123625,17440.500519096993,Furniture
2018-04-01,11946.820599976894,8832.14752978108,14847.011887906407,Furniture
2018-05-01,14218.05090942705,11137.667408635452,17238.68848356787,Furniture
2018-06-01,16162.83964124131,13075.631525475821,19189.82442989909,Furniture
2018-07-01,14243.957598670962,11195.61478148844,17219.16040421275,Furniture
2018-08-01,13426.594953141188,10663.647631217553,16390.792587827018,Furniture
2018-09-01,28477.751858141455,25408.067533875885,31681.593989861318,Furniture
2018-10-01,17470.485306253846,14467.219371965715,20545.581246225676,Furniture
2018-11-01,31407.81279082926,28476.438220690452,34358.33349249965,Furniture
2018-12-01,33478.565967162736,30360.254044684025,36575.64458170327,Furniture
2019-01-01,12703.030250111493,9777.350406915739,15974.993643883734,Furniture
2019-02-01,7687.024325748303,4576.6519074855905,10847.417899487406,Furniture
2019-03-01,16989.094566934873,14089.523172711666,20159.743499139153,Furniture
2019-04-01,12127.720153241182,9475.07831492146,15343.024376493822,Furniture
2019-05-01,15335.749284932506,12556.561859622863,18089.902448384524,Furniture
2019-06-01,20067.814652613622,17159.74860013613,22942.598081223947,Furniture
2015-01-01,3760.439326494081,-1365.530001450413,8916.484014027583,Office Supplies
2015-02-01,1751.4461171949279,-3720.1720128184434,7157.628929539416,Office Supplies
2015-03-01,8672.666643813202,3247.914613975095,14197.054163937752,Office Supplies
2015-04-01,8728.351519484044,3663.439475193056,13948.65542288977,Office Supplies
2015-05-01,5317.761245811591,160.5725479413441,10599.864149327,Office Supplies
2015-06-01,7709.312553189975,2358.5129148079986,13043.915248375128,Office Supplies
2015-07-01,7866.841501821424,2348.730171270583,13222.964267810474,Office Supplies
2015-08-01,10615.219283661652,5414.755697886816,16042.769381577178,Office Supplies
2015-09-01,22636.510996943598,16823.19310230892,27726.66545939446,Office Supplies
2015-10-01,7054.672937385425,1950.000304181662,12189.08526981076,Office Supplies
2015-11-01,23174.408504283143,17815.037887552964,28540.480430987373,Office Supplies
2015-12-01,20049.338046831235,14812.688433915153,25585.267646453034,Office Supplies
2016-01-01,5580.651371534448,163.31111790037872,11397.133437275856,Office Supplies
2016-02-01,5726.840041862333,666.4895650308018,11163.04059224671,Office Supplies
2016-03-01,12922.6398407655,7667.748280687306,18213.853406386366,Office Supplies
2016-04-01,10054.793146906837,5031.490733942847,15446.321677901062,Office Supplies
2016-05-01,10576.929073310934,5193.276083352965,16122.01174603497,Office Supplies
2016-06-01,10704.509848549545,5756.756492105054,16598.49919572331,Office Supplies
2016-07-01,8255.52907324462,3285.7734510114065,14031.18073633071,Office Supplies
2016-08-01,14790.428812616674,9693.672509421953,20332.005712453796,Office Supplies
2016-09-01,22506.392474864013,17225.616871855927,27756.18164509191,Office Supplies
2016-10-01,14969.279619467508,9525.65592149225,20160.031387072668,Office Supplies
2016-11-01,21018.660565080103,15763.536654264342,26131.274474289177,Office Supplies
2016-12-01,24545.19489145516,19199.16529157701,29719.759745881503,Office Supplies
2017-01-01,10935.679822640639,5357.266677306536,16381.730273155457,Office Supplies
2017-02-01,4585.811423899553,-770.7201518855999,9679.271950810542,Office Supplies
2017-03-01,15101.613983941386,10094.163701845699,20518.918420339585,Office Supplies
2017-04-01,13204.510184987364,7555.328448883192,18689.346338291114,Office Supplies
2017-05-01,12408.83983892736,7553.845105465397,17756.643597157752,Office Supplies
2017-06-01,13268.414253241282,8061.965812866055,18559.396461735538,Office Supplies
2017-07-01,11707.272869957538,6233.860894738985,17131.293329827247,Office Supplies
2017-08-01,16983.211618441586,11707.148003590204,22133.173345420768,Office Supplies
2017-09-01,26151.485182021454,20608.800052261635,31636.32610858243,Office Supplies
2017-10-01,15902.353171118297,10535.352296357856,21174.970762274843,Office Supplies
2017-11-01,25311.341561605503,19942.082926218383,30593.65417305679,Office Supplies
2017-12-01,26655.43364755222,21420.20764174476,31667.678438068782,Office Supplies
2018-01-01,12710.766673239403,7296.648978368641,17653.264175589138,Office Supplies
2018-02-01,8535.828894282635,3088.8670209829365,13715.340550809338,Office Supplies
2018-03-01,17268.27112632241,12082.22825989544,22844.7785640261,Office Supplies
2018-04-01,16345.78709649123,11060.921832076996,21924.898920962158,Office Supplies
2018-05-01,14238.841661211018,9239.6578242193,19033.52197906935,Office Supplies
2018-06-01,15853.331437117218,10857.501381724573,21107.85630453689,Office Supplies
2018-07-01,15161.352897000106,9969.647981948785,20424.298025711378,Office Supplies
2018-08-01,19174.846664082655,13652.087596770969,24293.49440069744,Office Supplies
2018-09-01,29778.421171904756,24031.35097566457,35008.946359196925,Office Supplies
2018-10-01,16847.0757713703,11208.02662040605,22329.607214328124,Office Supplies
2018-11-01,29613.764954192276,24472.355448607945,35127.56600261682,Office Supplies
2018-12-01,28740.056412730817,23418.713665337087,34049.988334552196,Office Supplies
2019-01-01,14508.949925011946,9173.696607356587,19801.25337721509,Office Supplies
2019-02-01,12500.123138445979,6808.812591159851,17895.578686255343,Office Supplies
2019-03-01,19421.493982280972,13954.689486085626,24209.96807164857,Office Supplies
2019-04-01,19477.34528059391,13983.948915144223,24890.875549287583,Office Supplies
2019-05-01,16066.91606077717,10945.954312646792,21778.661725629827,Office Supplies
2019-06-01,18458.633790690896,13222.431995909079,23375.320962320737,Office Supplies
2015-01-01,2806.6110056317566,-2952.8280286346344,8894.512772815482,Technology
2015-02-01,347.560694525102,-5800.001005162348,6352.824502531739,Technology
2015-03-01,31206.501265880222,25531.515192553048,37286.604840123575,Technology
2015-04-01,5539.514842787843,-1108.343273516925,11415.88267806217,Technology
2015-05-01,7685.503874629567,1906.1779388485545,13469.668550797753,Technology
2015-06-01,7927.837140090844,2057.7683277631395,13824.716642422143,Technology
2015-07-01,8776.558337315382,2869.674595807119,14484.291030394128,Technology
2015-08-01,6018.644016982131,13.363423508568896,11329.347308139924,Technology
2015-09-01,24665.24472243363,19334.259477822576,30889.34706771614,Technology
2015-10-01,17371.399930946594,11520.731870084986,22962.990298052264,Technology
2015-11-01,33552.08780074314,27611.213710150987,39525.91669930276,Technology
2015-12-01,13314.559890647271,6845.850846917863,19752.170127279664,Technology
2016-01-01,4661.274986729741,-876.216415836958,10103.2256885706,Technology
2016-02-01,766.6463088999553,-5107.675377516175,6756.883815726071,Technology
2016-03-01,12015.285653177101,5829.393613187944,17764.088683484155,Technology
2016-04-01,12462.298908052479,6859.673427605816,18361.812607332075,Technology
2016-05-01,18518.545225359518,12495.545172314723,24345.682125338313,Technology
2016-06-01,10687.722972787426,4764.435174852431,16781.87213415325,Technology
2016-07-01,12794.24320242835,6781.794574014815,18294.05010290918,Technology
2016-08-01,14385.506704675821,8613.489081515949,20512.54430142126,Technology
2016-09-01,17297.561196826122,11147.975631051031,23161.557787886402,Technology
2016-10-01,20623.26688402585,14374.486691701359,26438.116135039105,Technology
2016-11-01,26101.3695789328,20369.188060992932,32104.590437350886,Technology
2016-12-01,31109.35792063369,25337.275491364962,37068.904371274504,Technology
2017-01-01,10286.741600380932,4562.040633663439,16274.259488410775,Technology
2017-02-01,10910.603110678969,5005.061938757705,16781.62029391378,Technology
2017-03-01,22099.12303138407,15896.83375818086,28101.841911246767,Technology
2017-04-01,13962.545022597287,8328.886487503614,19979.689922732647,Technology
2017-05-01,18595.477194412266,12400.974723008774,24486.826036055372,Technology
2017-06-01,13412.515607972819,7797.547625593466,19257.983712823727,Technology
2017-07-01,15116.033933584327,8841.293071774768,20943.519710292287,Technology
2017-08-01,15195.685905894174,9308.544789282581,20833.326567176653,Technology
2017-09-01,23383.758263839773,17437.0427867573,29942.501815126976,Technology
2017-10-01,23228.33373217385,17072.690922004098,29251.09780744789,Technology
2017-11-01,32349.127012461475,26716.35068187404,38140.73267679808,Technology
2017-12-01,28912.2856837226,23135.17153973137,34795.2801666072,Technology
2018-01-01,12022.26840722563,6346.578467156145,17731.60516291431,Technology
2018-02-01,11068.825824969357,5232.082867816963,16864.637964543042,Technology
2018-03-01,32168.77691595177,25816.467021163626,38291.97166138292,Technology
2018-04-01,15324.759689013537,8970.374816490108,21175.360588721618,Technology
2018-05-01,18653.112241383507,12935.629410216225,24560.629724648745,Technology
2018-06-01,16162.007948545337,10266.484576625337,22246.71920193553,Technology
2018-07-01,17446.30098803175,11568.26047157282,23138.67550322699,Technology
2018-08-01,16076.18947243286,10222.568487868937,22037.94087110808,Technology
2018-09-01,29510.755262070394,23283.483584997815,35209.90819108177,Technology
2018-10-01,25814.84381990462,19851.685727273845,31543.99249197642,Technology
2018-11-01,38503.48255615884,32224.582216821487,44543.60628117671,Technology
2018-12-01,26648.63200209308,20645.522000576853,32068.080296343316,Technology
2019-01-01,13815.868049740711,7471.926340846971,19298.754170006883,Technology
2019-02-01,11356.84505772431,5685.454368804513,17125.194378657605,Technology
2019-03-01,42215.81030466063,36376.111585500905,48197.81815876058,Technology
2019-04-01,16548.851201088608,10324.634502885254,22660.7941416828,Technology
